geneID	geneSymbol	log2FC	KD.geneSymbol	perturb_id	KD.geneID	KD.geneID_ASO
ENSG00000106266	SNX8	-0.599882855033003	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000130638	ATXN10	-0.851608428054568	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000168306	ACOX2	1.19496638842573	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000013573	DDX11	-0.8980403655994229	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000101187	SLCO4A1	-1.0230321005595402	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000126581	BECN1	-0.901925319037472	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000176170	SPHK1	-0.7047314636151201	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000042088	TDP1	-0.778292367565764	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000151503	NCAPD3	-0.720560413550008	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000203666	EFCAB2	-0.9535100243318729	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000081307	UBA5	-0.7479819979523241	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000006534	ALDH3B1	0.7745799753537909	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000214826	DDX12P	-1.10874411840686	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000184182	UBE2F	-0.658462635102564	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000187678	SPRY4	-0.5903689012256751	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000258984	UBE2F-SCLY	-0.6572913817435201	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000233695	GAS6-AS1	1.59137215528405	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000134668	SPOCD1	-0.649449974769774	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000172292	CERS6	-1.03272483345577	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000128965	CHAC1	-0.704390977673731	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000173120	KDM2A	-0.553100744691618	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000110917	MLEC	-0.935030131039172	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000221869	CEBPD	0.80082573431526	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000128510	CPA4	1.1820264265662799	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000164442	CITED2	0.587508950755146	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000156017	C9orf41	-0.6593787087204821	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000104365	IKBKB	-0.6770097684763909	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000133612	AGAP3	-0.6973476607113421	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000163110	PDLIM5	-0.6957504008964929	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000164125	FAM198B	1.18838359000746	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000106853	PTGR1	0.49636232804071895	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
ENSG00000197467	COL13A1	-0.6760506922405579	RP11-398K22.12	ASO_G0229852_03	ENSG00000229852	ENSG00000229852_ASO_G0229852_03
